batch_id,batch_name,company_domains,title_include,title_exclude,email_filter,reveal_limit,notes
1,"Highest fit design and creator tools","artlist.io; wix.com; canva.com; runwayml.com; figma.com; webflow.com; typeform.com; picsart.com; lottiefiles.com; framer.com","Chief of Staff; CEO Office; Executive Operations; Corporate Development; Investor Relations; Strategic Finance; COO; Head of Operations; VP Brand; Head of Brand; Brand Partnerships; Strategic Partnerships; Head of Events; Head of Ecosystem","Sales Development; Business Development Representative; Account Executive; Recruiter; Talent Acquisition; Human Resources; Customer Support; Investor; Advisor; Creator; Ambassador; Consultant; Freelancer","Verified first, then Likely to Engage if too few",15,"Start here. Reveal only 1-2 emails per company."
2,"Design motion and AI creation","jitter.video; fable.app; spline.design; sketch.com; rive.app; kittl.com; zeplin.io; protopie.io; gamma.app; uizard.io","Chief of Staff; CEO Office; Executive Operations; Corporate Development; Investor Relations; COO; Head of Operations; VP Brand; Head of Brand; Brand Partnerships; Strategic Partnerships; Head of Community","Sales Development; Business Development Representative; Account Executive; Recruiter; Talent Acquisition; Human Resources; Customer Support; Investor; Advisor; Creator; Ambassador; Consultant; Freelancer","Verified first, then Likely to Engage if too few",15,"Some companies may be under 150 employees; keep only if title is strong."
3,"Music and audio creator platforms","epidemicsound.com; splice.com; output.com; arturia.com; tracklib.com; musicbed.com; soundstripe.com; landr.com; beatstars.com; bandcamp.com","Chief of Staff; CEO Office; Executive Operations; Corporate Development; Investor Relations; COO; Head of Operations; VP Brand; Head of Brand; Brand Partnerships; Strategic Partnerships; Music Partnerships","Sales Development; Business Development Representative; Account Executive; Recruiter; Talent Acquisition; Human Resources; Customer Support; Investor; Advisor; Creator; Ambassador; Consultant; Freelancer","Verified first, then Likely to Engage if too few",15,"Use artist/music creator personalization."
4,"Creative marketplaces and communities","dribbble.com; behance.net; creativemarket.com; envato.com; freepik.com; 99designs.com; thenounproject.com; unsplash.com; pond5.com; eyeem.com","Chief of Staff; CEO Office; Executive Operations; Corporate Development; Investor Relations; COO; Head of Operations; VP Brand; Head of Brand; Brand Partnerships; Strategic Partnerships; Community; Partnerships","Sales Development; Business Development Representative; Account Executive; Recruiter; Talent Acquisition; Human Resources; Customer Support; Investor; Advisor; Creator; Ambassador; Consultant; Freelancer","Verified first, then Likely to Engage if too few",15,"Best angle is supporting local artists / contributor community."
5,"Video and AI video platforms","vimeo.com; frame.io; descript.com; riverside.fm; veed.io; kapwing.com; photoroom.com; synthesia.io; heygen.com; ltx.studio","Chief of Staff; CEO Office; Executive Operations; Corporate Development; Investor Relations; COO; Head of Operations; VP Brand; Head of Brand; Brand Partnerships; Strategic Partnerships; Head of Events","Sales Development; Business Development Representative; Account Executive; Recruiter; Talent Acquisition; Human Resources; Customer Support; Investor; Advisor; Creator; Ambassador; Consultant; Freelancer","Verified first, then Likely to Engage if too few",15,"Good for investor event / creative milestone gifting."
6,"Creative AI image and audio","leonardo.ai; ideogram.ai; krea.ai; suno.com; udio.com; elevenlabs.io; mubert.com; wonderdynamics.com; higgsfield.ai; genmo.ai","Chief of Staff; CEO Office; Executive Operations; Corporate Development; Investor Relations; COO; Head of Operations; VP Brand; Head of Brand; Brand Partnerships; Strategic Partnerships","Sales Development; Business Development Representative; Account Executive; Recruiter; Talent Acquisition; Human Resources; Customer Support; Investor; Advisor; Creator; Ambassador; Consultant; Freelancer","Verified first, then Likely to Engage if too few",15,"High creative fit; verify company size and current domain carefully."
7,"Creator learning and monetization","masterclass.com; skillshare.com; domestika.org; teachable.com; kajabi.com; thinkific.com; podia.com; circle.so; mightynetworks.com; patreon.com","Chief of Staff; CEO Office; Executive Operations; Corporate Development; Investor Relations; COO; Head of Operations; VP Brand; Head of Brand; Brand Partnerships; Strategic Partnerships; Community; Creator Partnerships","Sales Development; Business Development Representative; Account Executive; Recruiter; Talent Acquisition; Human Resources; Customer Support; Investor; Advisor; Creator; Ambassador; Consultant; Freelancer","Verified first, then Likely to Engage if too few",15,"More creator economy than visual art; prioritize brand/community operators."
8,"Creator commerce and startup community","linktr.ee; fourthwall.com; stan.store; beacons.ai; passionfroot.me; contra.com; gumroad.com; buymeacoffee.com; memberful.com; producthunt.com","Chief of Staff; CEO Office; Executive Operations; Corporate Development; Investor Relations; COO; Head of Operations; VP Brand; Head of Brand; Brand Partnerships; Strategic Partnerships; Partnerships","Sales Development; Business Development Representative; Account Executive; Recruiter; Talent Acquisition; Human Resources; Customer Support; Investor; Advisor; Creator; Ambassador; Consultant; Freelancer","Verified first, then Likely to Engage if too few",15,"Many may be smaller; use founder-office or ops only."
9,"Culture media collectibles and gaming","whatnot.com; sorare.com; hypebeast.com; complex.com; a24films.com; letterboxd.com; discord.com; overwolf.com; moonactive.com; dapperlabs.com","Chief of Staff; CEO Office; Executive Operations; Corporate Development; Investor Relations; COO; Head of Operations; VP Brand; Head of Brand; Brand Partnerships; Strategic Partnerships; Events","Sales Development; Business Development Representative; Account Executive; Recruiter; Talent Acquisition; Human Resources; Customer Support; Investor; Advisor; Creator; Ambassador; Consultant; Freelancer","Verified first, then Likely to Engage if too few",15,"More culture/collectible angle than pure creator tools."
10,"Brand asset and publishing tools","brandfolder.com; bynder.com; ceros.com; issuu.com; pics.io; vecteezy.com; iconfinder.com; streamyard.com; restream.io; streamlabs.com","Chief of Staff; CEO Office; Executive Operations; Corporate Development; Investor Relations; COO; Head of Operations; VP Brand; Head of Brand; Brand Partnerships; Strategic Partnerships; Partnerships","Sales Development; Business Development Representative; Account Executive; Recruiter; Talent Acquisition; Human Resources; Customer Support; Investor; Advisor; Creator; Ambassador; Consultant; Freelancer","Verified first, then Likely to Engage if too few",15,"Good B2B brand angle; less emotional but often easier buyer mapping."
